,Speed_kmh,Mass_tonnes,Conv_Decel_mps2,Eddy_Addon_mps2,Total_Decel_mps2,Stop_Dist_Conv_m,Stop_Dist_Augmented_m,Dist_Saved_m,Dist_Saved_Pct,Stop_Time_Conv_s,Stop_Time_Augmented_s,Time_Saved_s,Total_Energy_MJ,Regen_Energy_kWh,Energy_Recovery_Pct,CO2_Saved_kg
mean,145.83,498.7,0.81,0.35,1.16,1153.47,802.53,350.95,30.06,52.65,36.32,16.33,439.33,17.8,15.03,4.15
std,41.65,175.87,0.18,0.12,0.19,697.12,495.04,248.14,9.63,19.69,13.44,8.93,290.03,12.0,4.81,2.8
min,80.77,204.17,0.5,0.16,0.78,246.71,203.44,38.35,13.14,21.99,17.53,3.18,70.83,1.8,6.57,0.42
max,218.16,791.39,1.09,0.55,1.55,3182.64,2274.21,1263.75,51.66,107.53,76.09,43.69,1368.01,63.49,25.83,14.79
median,144.98,503.38,0.84,0.35,1.16,991.6,673.53,283.92,29.87,50.59,34.31,14.78,345.18,15.08,14.93,3.51
